author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Этажи Москва;https://www.cian.ru/sale/flat/280314172/;Москва;sale;flat;2;16;3;67.0;16600000;Ясенево;Инессы Арманд;Новоясеневская;
ДСК-1;https://www.cian.ru/sale/flat/279168315/;Москва;sale;flat;-1;-1;-1;202.0;16822850;Молжаниновский;;Водники;Первый Ленинградский ЖК
HOUSE MALL - Городская недвижимость;https://www.cian.ru/sale/flat/288380032/;Москва;sale;flat;4;8;3;55.9;16700000;Измайлово;Сиреневый бульвар;Щёлковская;
ПИК;https://www.cian.ru/sale/flat/288241217/;Москва;sale;flat;6;33;3;78.7;16856600;Алтуфьевский;;Отрадное;Алтуфьевское 53 ЖК
Владис;https://www.cian.ru/sale/flat/287840012/;Москва;sale;flat;7;17;3;74.4;16800000;Западное Дегунино;Ангарская;Селигерская;
Екатерина Боброва;https://www.cian.ru/sale/flat/283423370/;Москва;sale;flat;14;15;3;70.0;16850000;Северное Медведково;Широкая;Медведково;
ДСК-1;https://www.cian.ru/sale/flat/276515917/;Москва;sale;flat;-1;-1;-1;202.0;16918435;Молжаниновский;Ленинградское шоссе;Планерная;Первый Ленинградский
МИЦ-Столичный ипотечный центр недвижимости;https://www.cian.ru/sale/flat/288374202/;Москва;sale;flat;6;12;3;65.0;17000000;Лефортово;1-й Краснокурсантский проезд;Лефортово;
ФСК;https://www.cian.ru/sale/flat/255584542/;Москва;sale;flat;-1;-1;-1;1.0;17046277;Покровское-Стрешнево;Волоколамское шоссе;Спартак;Движение.Тушино
ПИК;https://www.cian.ru/sale/flat/287607005/;Москва;sale;flat;18;20;3;73.8;16996140;Западное Дегунино;Северный ао;Лианозово;Бусиновский Парк ЖК
Новые Ватутинки;https://www.cian.ru/sale/flat/281730645/;Москва;sale;flat;3;14;3;76.0;16988736;;;Ольховая;
Этажи Москва;https://www.cian.ru/sale/flat/275230325/;Москва;sale;flat;12;17;3;73.0;16999000;Митино;Пятницкое шоссе;Митино;
Этажи Москва;https://www.cian.ru/sale/flat/284042200/;Москва;sale;flat;6;17;3;95.7;17000000;;;Коммунарка;
Level Group;https://www.cian.ru/sale/flat/286511136/;Москва;sale;flat;-1;-1;-1;202.0;17073337;Западное Дегунино;Северный ао;Селигерская;Левел Селигерская ЖК
Центральный Департамент Недвижимости;https://www.cian.ru/sale/flat/284738409/;Москва;sale;flat;6;10;3;56.8;17100000;Раменки;3-й Сетуньский проезд;Кутузовская;
А101;https://www.cian.ru/sale/flat/273050171/;Москва;sale;flat;4;15;3;70.6;17208706;;;Прокшино;
Этажи Москва;https://www.cian.ru/sale/flat/288412659/;Москва;sale;flat;15;16;3;72.0;17200000;Очаково-Матвеевское;Озерная;Озёрная;
Римарком Владис;https://www.cian.ru/sale/flat/282696781/;Москва;sale;flat;8;16;3;74.7;17300000;Южное Бутово;Академика Семенова;Бунинская аллея;
Владис;https://www.cian.ru/sale/flat/282779046/;Москва;sale;flat;3;16;3;75.0;17300000;Ясенево;Паустовского;Ясенево;
ПИК;https://www.cian.ru/sale/flat/279625848/;Москва;sale;flat;2;13;3;57.4;17395429;Покровское-Стрешнево;Волоколамское шоссе;Спартак;Holland park
NIKA ESTATE;https://www.cian.ru/sale/flat/288214603/;Москва;sale;flat;4;7;3;66.0;17300000;Даниловский;1-й Кожуховский проезд;Автозаводская;
Космополис;https://www.cian.ru/sale/flat/287552846/;Москва;sale;flat;4;17;3;79.8;17500000;Солнцево;Солнцевский проспект;Солнцево;
Екатерина Иванова;https://www.cian.ru/sale/flat/285066771/;Москва;sale;flat;9;15;3;79.0;17500000;;;Коммунарка;
Комета;https://www.cian.ru/sale/flat/287877216/;Москва;sale;flat;4;31;3;77.4;17707196;Рязанский;Рязанский проспект;Стахановская;District 39
