author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
СЕДЬМОЕ НЕБО;https://www.cian.ru/sale/flat/279332923/;Москва;sale;flat;24;58;3;88.0;29700000;Тимирязевский;Дмитровский проезд;Дмитровская;D1
EstateLiga;https://www.cian.ru/sale/flat/278651338/;Москва;sale;flat;3;22;3;89.4;29999999;Филевский парк;Багратионовский проезд;Фили;Filicity
НДВ;https://www.cian.ru/sale/flat/285593529/;Москва;sale;flat;9;26;3;138.0;31000000;Можайский;Можайское шоссе;Кунцевская;
ДОНСТРОЙ;https://www.cian.ru/sale/flat/288195050/;Москва;sale;flat;20;27;3;87.3;31445460;Лефортово;бульвар Сенкевича;Площадь Ильича;Символ
CENTURY 21;https://www.cian.ru/sale/flat/286983815/;Москва;sale;flat;3;23;3;106.0;32200000;Аэропорт;Часовая;Сокол;Весна на Балтийском
НДВ;https://www.cian.ru/sale/flat/288133888/;Москва;sale;flat;23;31;3;64.4;34500000;Филевский парк;Багратионовский проезд;Фили;Filicity
Whitewill;https://www.cian.ru/sale/flat/279147886/;Москва;sale;flat;11;31;3;70.0;34900000;Филевский парк;Береговой проезд;Фили;Фили Град
TimeProperty;https://www.cian.ru/sale/flat/271062822/;Москва;sale;flat;4;39;3;97.5;35500000;Раменки;Лобачевского;Аминьевская;Событие
ПИК;https://www.cian.ru/sale/flat/280317912/;Москва;sale;flat;23;33;3;89.3;36342753;Кунцево;Академика Павлова;Крылатское;Академика Павлова
Contact Real Estate;https://www.cian.ru/sale/flat/288107648/;Москва;sale;flat;32;41;3;78.0;36500000;Раменки;1-й Сетуньский проезд;Воробьёвы горы;Hide
Chase R.E.S.;https://www.cian.ru/sale/flat/280798428/;Москва;sale;flat;13;13;3;102.0;37000000;Беговой;Ленинградский проспект;Динамо;Квартал апартаментов Искра-Парк
Life Style;https://www.cian.ru/sale/flat/280058597/;Москва;sale;flat;2;4;3;75.9;37000000;Тверской;Садовая-Каретная;Цветной бульвар;
TEKTA GROUP;https://www.cian.ru/sale/flat/280381643/;Москва;sale;flat;29;34;3;97.3;39785970;Обручевский;Обручева;Воронцовская;Ever
Monumental Group;https://www.cian.ru/sale/flat/286118108/;Москва;sale;flat;2;7;3;78.2;41990000;Хамовники;Фрунзенская набережная;Парк Культуры;
