author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Sminex-Интеко;https://www.cian.ru/sale/flat/265095456/;Москва;sale;flat;13;14;3;91.6;55150000;Раменки;;Ломоносовский проспект;Вест Гарден ЖК
Century 21 Premium Property;https://www.cian.ru/sale/flat/287548497/;Москва;sale;flat;11;53;3;107.0;37000000;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
TEKTA GROUP;https://www.cian.ru/sale/flat/284502365/;Москва;sale;flat;2;34;3;70.2;21010860;Обручевский;;Калужская;Эвер ЖК
BELFORT;https://www.cian.ru/sale/flat/288362265/;Москва;sale;flat;2;8;3;75.5;78000000;Якиманка;Софийская набережная;Новокузнецкая;Софийский
Центр-Инвест;https://www.cian.ru/sale/flat/288007942/;Москва;sale;flat;2;35;3;86.8;27864327;Левобережный;Фестивальная;Беломорская;Фестиваль парк-2
ID 93840399;https://www.cian.ru/sale/flat/284315000/;Москва;sale;flat;33;41;3;80.2;40500000;Филевский парк;Багратионовский проезд;Фили;Filicity
MR Group;https://www.cian.ru/sale/flat/288222719/;Москва;sale;flat;54;54;3;154.1;89710614;Савеловский;2-я Хуторская;Дмитровская;SYMPHONY 34
BARNES International Realty;https://www.cian.ru/sale/flat/287248386/;Москва;sale;flat;3;7;3;87.0;95000000;Хамовники;Льва Толстого;Парк Культуры;Литератор
Level Group;https://www.cian.ru/sale/flat/284889157/;Москва;sale;flat;-1;-1;-1;202.0;21850001;Нагатино-Садовники;Нагатинская набережная;Нагатинская;Level Нагатинская
BARNES International Realty;https://www.cian.ru/sale/flat/288096874/;Москва;sale;flat;19;30;3;107.8;44198000;Якиманка;Мытная;Серпуховская;Sky House
ФСК;https://www.cian.ru/sale/flat/271319228/;Москва;sale;flat;-1;-1;-1;1.0;27174227;Хорошевский;Зорге;Зорге;Рихард
Bespoke Estate;https://www.cian.ru/sale/flat/283217628/;Москва;sale;flat;7;8;3;87.5;79900000;Тверской;Тверская;Охотный ряд;
Основа;https://www.cian.ru/sale/flat/286886778/;Москва;sale;flat;10;13;3;68.0;42874000;Замоскворечье;Большой Строченовский переулок;Павелецкая;Резиденции Замоскворечье
