author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
;https://www.cian.ru/sale/flat/278952375/;Москва;sale;flat;25;32;3;83.7;48546000;Черемушки;Херсонская;Калужская;ONYX Deluxe
Ramenky Realty;https://www.cian.ru/sale/flat/285683590/;Москва;sale;flat;3;16;3;134.5;81899999;Замоскворечье;Мытная;Серпуховская;Английский квартал
Мангазея;https://www.cian.ru/sale/flat/288319563/;Москва;sale;flat;19;21;3;98.1;49148100;Щукино;Щукинская;Стрешнево;Интонация
Homeapp;https://www.cian.ru/sale/flat/286055704/;Москва;sale;flat;24;25;3;77.0;31500000;Раменки;Янковского;Мичуринский проспект;Событие
Донстрой;https://www.cian.ru/sale/flat/288195719/;Москва;sale;flat;3;12;3;89.6;49459200;Хорошево-Мневники;Нижние Мневники;Терехово ;Остров
PEOPLE;https://www.cian.ru/sale/flat/286116738/;Москва;sale;flat;2;9;3;140.0;145600000;Тверской;Большой Каретный переулок;Цветной бульвар;Каретный плаза
ФСК;https://www.cian.ru/sale/flat/268515061/;Москва;sale;flat;-1;-1;-1;202.0;50324000;Хорошево-Мневники;;Народное Ополчение;Сидней Сити ЖК
ID 413522;https://www.cian.ru/sale/flat/280637047/;Москва;sale;flat;17;21;3;119.49;111500000;Пресненский;Жилой Лаки кв-л;Беговая;Lucky
VOSHOD;https://www.cian.ru/sale/flat/287785196/;Москва;sale;flat;-1;-1;-1;202.0;56985200;Филевский парк;Василисы Кожиной;Филёвский парк;AHEAD
ID 85604823;https://www.cian.ru/sale/flat/288255606/;Москва;sale;flat;12;23;3;83.1;21500000;;;Рассказовка;
Основа;https://www.cian.ru/sale/flat/286886765/;Москва;sale;flat;12;13;3;130.5;60356250;Замоскворечье;Большой Строченовский переулок;Павелецкая;Резиденции Замоскворечье
Century 21 Premium Property;https://www.cian.ru/sale/flat/287548500/;Москва;sale;flat;28;53;3;96.6;34000000;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
Аеон-Девелопмент;https://www.cian.ru/sale/flat/274260609/;Москва;sale;flat;-1;-1;-1;202.0;60910371;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Юрий Новиков;https://www.cian.ru/sale/flat/287106851/;Москва;sale;flat;4;5;3;88.2;30990000;Красносельский;Ананьевский переулок;Сухаревская;
Основа;https://www.cian.ru/sale/flat/286886795/;Москва;sale;flat;12;13;3;97.5;60840000;Замоскворечье;Большой Строченовский переулок;Павелецкая;Резиденции Замоскворечье
GRAND ESTATE - Премиальная недвижимость;https://www.cian.ru/sale/flat/280381137/;Москва;sale;flat;9;16;3;77.0;39900000;Аэропорт;Ленинградский проспект;Динамо;ВТБ Арена парк
MR Group;https://www.cian.ru/sale/flat/269862960/;Москва;sale;flat;-1;-1;-1;202.0;63228672;Раменки;1-й Сетуньский проезд;Лужники;Hide
BARNES International Realty;https://www.cian.ru/sale/flat/279486421/;Москва;sale;flat;2;4;3;152.0;71900000;Крылатское;Островной проезд;Крылатское;Остров Фантазий
Пионер;https://www.cian.ru/sale/flat/279362247/;Москва;sale;flat;7;11;3;88.8;66878743;Даниловский;Дербеневская;Павелецкая;OPUS
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/286929559/;Москва;sale;flat;4;24;3;84.4;67500000;Беговой;Верхняя;Белорусская;Суббота
ANT Development;https://www.cian.ru/sale/flat/274568608/;Москва;sale;flat;-1;-1;-1;202.0;93952604;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
MHEstate;https://www.cian.ru/sale/flat/284849813/;Москва;sale;flat;5;5;3;142.0;79000000;Тверской;Тверская;Тверская;
ANT Development;https://www.cian.ru/sale/flat/274568656/;Москва;sale;flat;-1;-1;-1;202.0;131451298;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
Cristall Realty;https://www.cian.ru/sale/flat/285385602/;Москва;sale;flat;17;29;3;77.0;42000000;Филевский парк;Береговой проезд;Шелепиха;Береговой
Sminex-Интеко;https://www.cian.ru/sale/flat/281686954/;Москва;sale;flat;1;6;3;79.5;134760000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
Whitewill;https://www.cian.ru/sale/flat/287070266/;Москва;sale;flat;14;32;3;130.0;47000000;Щукино;Авиационная;Щукинская;Алые Паруса
