author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
БЕЛЫЙ КВАДРАТ - Московский Центр Недвижимости;https://www.cian.ru/sale/flat/278866015/;Москва;sale;flat;2;7;-1;52.0;11999000;Можайский;Верейская;Давыдково;Loft 151
Владис;https://www.cian.ru/sale/flat/287087785/;Москва;sale;flat;2;6;-1;25.6;12032000;Таганский;2-й Гончарный переулок;Таганская;
Владис;https://www.cian.ru/sale/flat/287731213/;Москва;sale;flat;5;13;-1;28.6;12000000;Донской;4-й Верхний Михайловский проезд;Шаболовская;Апартаментный комплекс Level Донской
AEON CITY ESTATE;https://www.cian.ru/sale/flat/286433600/;Москва;sale;flat;2;6;-1;25.6;12032000;Таганский;2-й Гончарный переулок;Таганская;
Mr.Loft;https://www.cian.ru/sale/flat/287874980/;Москва;sale;flat;2;6;-1;25.6;12032000;Таганский;2-й Гончарный переулок;Таганская;
ПИК;https://www.cian.ru/sale/flat/285159410/;Москва;sale;flat;2;26;1;27.5;12318212;Лефортово;Красноказарменная;Лефортово;Красноказарменная 15
Arkhipov team;https://www.cian.ru/sale/flat/288389950/;Москва;sale;flat;26;30;1;24.0;12500000;Южнопортовый;Волгоградский проспект;Угрешская;Метрополия
Владис;https://www.cian.ru/sale/flat/287129487/;Москва;sale;flat;2;6;-1;26.9;12643000;Таганский;2-й Гончарный переулок;Таганская;
Владис;https://www.cian.ru/sale/flat/284354655/;Москва;sale;flat;3;24;-1;30.4;12500000;Донской;;Верхние котлы;Новоданиловская 8 ЖК
AEON CITY ESTATE;https://www.cian.ru/sale/flat/286433603/;Москва;sale;flat;2;6;-1;26.9;12643000;Таганский;2-й Гончарный переулок;Таганская;
AEON CITY ESTATE;https://www.cian.ru/sale/flat/286433595/;Москва;sale;flat;2;6;-1;26.9;12643000;Таганский;2-й Гончарный переулок;Таганская;
Ольга Сергеева;https://www.cian.ru/sale/flat/288107672/;Москва;sale;flat;3;19;-1;22.0;12500000;Красносельский;переулок Докучаев;Красные ворота;Волга
Валерия Сухинина;https://www.cian.ru/sale/flat/285052615/;Москва;sale;flat;18;25;1;25.0;12900000;Марфино;Академика Королева;Телецентр;Дом Достижение
Максимова и Ко;https://www.cian.ru/sale/flat/287779131/;Москва;sale;flat;1;2;-1;70.0;13000000;Котловка;Нагорная;Нагатинская;
Навигатор;https://www.cian.ru/sale/flat/287664813/;Москва;sale;flat;3;23;1;30.0;13200000;Щукино;Берзарина;Октябрьское поле;Октябрьское поле
;https://www.cian.ru/sale/flat/285618581/;Москва;sale;flat;9;28;1;28.9;13213080;Басманный;Семеновская набережная;Электрозаводская;Интеллигент
Homeapp;https://www.cian.ru/sale/flat/267155148/;Москва;sale;flat;38;43;1;26.3;13200000;Савеловский;2-я Хуторская;Дмитровская;SYMPHONY 34
One Moscow;https://www.cian.ru/sale/flat/274983109/;Москва;sale;flat;2;19;-1;25.4;13300000;Замоскворечье;;Павелецкая;Воксхолл ЖК
Владис;https://www.cian.ru/sale/flat/286619946/;Москва;sale;flat;6;29;1;29.3;13500000;Филевский парк;Береговой проезд;Фили;Береговой
Владис;https://www.cian.ru/sale/flat/287112490/;Москва;sale;flat;20;41;1;29.9;13450000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Liberty Estate;https://www.cian.ru/sale/flat/285805241/;Москва;sale;flat;14;15;1;28.9;13500000;Западное Дегунино;Ильменский проезд;Селигерская;Селигер Сити
;https://www.cian.ru/sale/flat/281681822/;Москва;sale;flat;22;28;1;27.6;13581960;Басманный;Семеновская набережная;Электрозаводская;Интеллигент
EldiRaif;https://www.cian.ru/sale/flat/281863099/;Москва;sale;flat;41;49;1;29.3;13600000;Бутырский;Новодмитровская;Дмитровская;Савеловский Сити
Владис;https://www.cian.ru/sale/flat/283554599/;Москва;sale;flat;8;47;1;28.7;13800000;Бутырский;Новодмитровская;Дмитровская;Савеловский Сити
Навигатор;https://www.cian.ru/sale/flat/286285574/;Москва;sale;flat;4;31;1;32.0;13800000;Левобережный;Ленинградское шоссе;Речной вокзал;Фестиваль Парк
Инград;https://www.cian.ru/sale/flat/286412786/;Москва;sale;flat;19;26;1;27.45;13815099;Нагорный;Электролитный проезд;Нагорная;TopHills
Homeapp;https://www.cian.ru/sale/flat/280492915/;Москва;sale;flat;18;51;1;29.7;13900000;Пресненский;Шмитовский проезд;Шелепиха;Headliner
МОСКВА СИТИ;https://www.cian.ru/sale/flat/286663559/;Москва;sale;flat;10;37;-1;33.0;13900000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
ДОНСТРОЙ;https://www.cian.ru/sale/flat/288385799/;Москва;sale;flat;11;26;1;30.9;14081130;Лефортово;бульвар Сенкевича;Площадь Ильича;Символ
Sminex-Интеко;https://www.cian.ru/sale/flat/286448133/;Москва;sale;flat;12;26;1;29.53;14220000;Марфино;Академика Королева;Бутырская;Дом Достижение
Владис;https://www.cian.ru/sale/flat/283806070/;Москва;sale;flat;7;8;1;34.0;14500000;Лефортово;шоссе Энтузиастов;Римская;Символ
CENTURY 21;https://www.cian.ru/sale/flat/286682560/;Москва;sale;flat;18;21;1;32.7;14500000;Свиблово;Лазоревый проезд;Ботанический сад;LIFE-Ботанический сад
ГОРОБМЕН;https://www.cian.ru/sale/flat/287627204/;Москва;sale;flat;12;51;1;29.43;14500000;Пресненский;Шмитовский проезд;Шелепиха;Headliner
Города;https://www.cian.ru/sale/flat/285865825/;Москва;sale;flat;29;46;1;29.9;14800000;Обручевский;;Калужская;Архитектор ЖК
Homeapp;https://www.cian.ru/sale/flat/279734191/;Москва;sale;flat;3;13;1;30.0;14800000;Лефортово;шоссе Энтузиастов;Москва-Товарная;Символ
МОСКВА СИТИ;https://www.cian.ru/sale/flat/286851369/;Москва;sale;flat;20;85;-1;25.0;15000000;Пресненский;1-й Красногвардейский проезд;Деловой центр;
Владис;https://www.cian.ru/sale/flat/285971234/;Москва;sale;flat;2;8;1;23.0;15700000;Тверской;Тверская;Маяковская;
ID 90681457;https://www.cian.ru/sale/flat/284352727/;Москва;sale;flat;9;27;1;35.1;16400000;Нагорный;Электролитный проезд;Нагорная;TopHills
Владис;https://www.cian.ru/sale/flat/286641807/;Москва;sale;flat;7;10;-1;41.0;16890000;Басманный;Нижняя Красносельская;Бауманская;TriBeCa APARTMENTS
Самолет;https://www.cian.ru/sale/flat/285397165/;Москва;sale;flat;1;24;-1;24.6;17000000;Донской;;Тульская;Новоданиловская 8 ЖК
Homeapp;https://www.cian.ru/sale/flat/273212841/;Москва;sale;flat;6;29;1;30.7;17800000;Хорошево-Мневники;Шеногина;Шелепиха;Sydney City
Владис;https://www.cian.ru/sale/flat/285241203/;Москва;sale;flat;2;6;-1;44.4;18000000;Басманный;Нижняя Красносельская;Красносельская;Kleinhouse
Владис;https://www.cian.ru/sale/flat/285878190/;Москва;sale;flat;8;10;-1;33.9;19000000;Даниловский;проезд Жуков;Павелецкая;Level Павелецкая
ID 26742302;https://www.cian.ru/sale/flat/287290647/;Москва;sale;flat;6;8;1;49.1;19000000;Ломоносовский;Ленинский проспект;Новаторская;
Римарком Владис;https://www.cian.ru/sale/flat/286986700/;Москва;sale;flat;6;20;1;43.61;18900000;Левобережный;;Беломорская;Акватория ЖК
Buybuyhouse;https://www.cian.ru/sale/flat/287597471/;Москва;sale;flat;2;3;1;47.0;20700000;Басманный;Ладожская;Бауманская;
Владис;https://www.cian.ru/sale/flat/287089080/;Москва;sale;flat;2;6;-1;39.0;21450000;Таганский;2-й Гончарный переулок;Таганская;
Well.Estate;https://www.cian.ru/sale/flat/288280576/;Москва;sale;flat;22;26;-1;29.9;25000000;Арбат;Новый Арбат;Арбатская;The Book
ID 401697;https://www.cian.ru/sale/flat/287404802/;Москва;sale;flat;8;8;1;25.0;25953569;Пресненский;переулок Брюсов;Тверская;
Ментор Девелопмент;https://www.cian.ru/sale/flat/287340617/;Москва;sale;flat;30;85;-1;30.5;27450000;Пресненский;1-й Красногвардейский проезд;Деловой центр;
Homeapp;https://www.cian.ru/sale/flat/276694052/;Москва;sale;flat;2;4;-1;47.0;30200000;Беговой;3-я Ямского Поля;Белорусская;Art Residence
МОСКВА СИТИ;https://www.cian.ru/sale/flat/279577968/;Москва;sale;flat;36;68;-1;52.0;31200000;Пресненский;1-й Красногвардейский проезд;Выставочная;NEVA TOWERS
Владис;https://www.cian.ru/sale/flat/287087786/;Москва;sale;flat;78;95;-1;47.0;37450000;Пресненский;набережная Пресненская;Деловой центр;Башня Федерация
ID 101513823;https://www.cian.ru/sale/flat/285643156/;Москва;sale;flat;5;6;1;62.5;43000000;Арбат;Большой Николопесковский переулок;Смоленская;
PnP Development;https://www.cian.ru/sale/flat/286743026/;Москва;sale;flat;1;14;-1;7.4;2250000;Солнцево;Боровский проезд;Солнцево;
Олег Осипов;https://www.cian.ru/sale/flat/286530583/;Москва;sale;flat;1;5;-1;13.7;2490000;Пресненский;Стрельбищенский переулок;Тестовская;
Городской департамент недвижимости;https://www.cian.ru/sale/flat/269896422/;Москва;sale;flat;1;2;-1;14.4;2636000;;;Щербинка;
ИНКОМ-Недвижимость;https://www.cian.ru/sale/flat/287086641/;Москва;sale;flat;2;5;-1;11.7;2680000;Северное Измайлово;Сиреневый бульвар;Щёлковская;
Этажи Москва;https://www.cian.ru/sale/flat/288371366/;Москва;sale;flat;1;4;-1;8.4;2700000;Измайлово;Нижняя Первомайская;Первомайская;
Городской департамент недвижимости;https://www.cian.ru/sale/flat/268005636/;Москва;sale;flat;2;2;-1;13.9;2710500;;;Щербинка;
ЭЛИКОС;https://www.cian.ru/sale/flat/287674250/;Москва;sale;flat;1;3;-1;25.0;2990000;;;Рассказовка;
МОЙ ДОМ;https://www.cian.ru/sale/flat/284650414/;Москва;sale;flat;3;7;-1;17.0;3000000;Чертаново Северное;Варшавское шоссе;Южная;
ГОРОБМЕН;https://www.cian.ru/sale/flat/287572613/;Москва;sale;flat;2;6;-1;11.0;3100000;Сокольники;Матросская Тишина;Преображенская площадь;
МОЙ ДОМ;https://www.cian.ru/sale/flat/285707321/;Москва;sale;flat;1;5;-1;7.5;3199000;Войковский;Клары Цеткин;Красный Балтиец;
Наталья Будилова;https://www.cian.ru/sale/flat/287956952/;Москва;sale;flat;2;17;-1;12.7;3150000;Головинский;Смольная;Водный стадион;
Апарт Авеню;https://www.cian.ru/sale/flat/287587534/;Москва;sale;flat;2;3;-1;11.8;3290000;Нижегородский;шоссе Фрезер;Нижегородская;
