author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Level Group;https://www.cian.ru/sale/flat/286094649/;Москва;sale;flat;-1;-1;-1;202.0;12229140;Хорошево-Мневники;Причальный проезд;Шелепиха;Level Причальный
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/280468577/;Москва;sale;flat;4;4;-1;17.6;6190000;Мещанский;Средняя Переяславская;Рижская;
Forma;https://www.cian.ru/sale/flat/286682887/;Москва;sale;flat;-1;-1;-1;202.0;12621965;Щукино;Волоколамское шоссе;Стрешнево;Moments
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/282406641/;Москва;sale;flat;2;4;-1;20.2;7290000;Басманный;Радио;Бауманская;
Forma;https://www.cian.ru/sale/flat/287464759/;Москва;sale;flat;-1;-1;-1;202.0;13727884;Щукино;Волоколамское шоссе;Стрешнево;Moments
Татьяна Щербакова;https://www.cian.ru/sale/flat/287548004/;Москва;sale;flat;4;5;1;16.1;5957000;Красносельский;Краснопрудная;Красносельская;
Центр-Инвест;https://www.cian.ru/sale/flat/288172353/;Москва;sale;flat;19;22;1;31.3;21654366;Красносельский;Большая Спасская;Площадь трёх вокзалов;Dialog
REALTY PRО;https://www.cian.ru/sale/flat/288134023/;Москва;sale;flat;2;3;-1;11.8;3290000;Нижегородский;шоссе Фрезер;Нижегородская;
ПИК;https://www.cian.ru/sale/flat/285823449/;Москва;sale;flat;2;17;1;19.91;5049651;;;Щербинка;
REALTY PRО;https://www.cian.ru/sale/flat/287366332/;Москва;sale;flat;1;4;-1;17.3;7290000;Басманный;Радио;Бауманская;
ПИК;https://www.cian.ru/sale/flat/281939381/;Москва;sale;flat;17;17;1;22.0;5218953;Южное Бутово;;Щербинка;Никольские Луга ЖК
Светлана Киреева;https://www.cian.ru/sale/flat/287951641/;Москва;sale;flat;2;5;-1;16.0;8200000;Таганский;Марксистская;Марксистская;
Новые Ватутинки;https://www.cian.ru/sale/flat/282721773/;Москва;sale;flat;2;14;1;25.7;6129450;;;Ольховая;
Whitewill;https://www.cian.ru/sale/flat/286345549/;Москва;sale;flat;5;7;-1;38.0;31000000;Пресненский;Большой Тишинский переулок;Улица 1905 года;Sinatra
ПИК;https://www.cian.ru/sale/flat/284915010/;Москва;sale;flat;5;32;1;20.4;6286617;Северное Медведково;к1.3;Медведково;Полар ЖК
Whitewill;https://www.cian.ru/sale/flat/286935392/;Москва;sale;flat;2;13;-1;63.0;51000000;Арбат;Новый Арбат;Смоленская;Звёзды Арбата
ПИК;https://www.cian.ru/sale/flat/287893502/;Москва;sale;flat;10;21;-1;21.6;6485184;Сокольники;Сокольнический Вал;Рижская;Сокольнический вал 1
Татьяна Щербакова;https://www.cian.ru/sale/flat/287546035/;Москва;sale;flat;4;5;-1;11.5;4830000;Красносельский;Краснопрудная;Красносельская;
ПИК;https://www.cian.ru/sale/flat/280433176/;Москва;sale;flat;5;28;1;19.9;6596050;Гольяново;;Черкизовская;Амурский парк ЖК
REALTY PRО;https://www.cian.ru/sale/flat/285827271/;Москва;sale;flat;2;4;-1;15.5;5190000;Мещанский;Средняя Переяславская;Рижская;
ПИК;https://www.cian.ru/sale/flat/286830484/;Москва;sale;flat;23;33;1;19.8;6809096;Отрадное;;Владыкино;Сигнальный 16 ЖК
Msk Estate;https://www.cian.ru/sale/flat/284881108/;Москва;sale;flat;3;7;-1;25.1;5522000;Коптево;Клары Цеткин;Войковская;
А101;https://www.cian.ru/sale/flat/273049905/;Москва;sale;flat;4;9;1;21.2;7147632;;;Прокшино;
Виктор Долгорукий;https://www.cian.ru/sale/flat/287810299/;Москва;sale;flat;2;3;-1;17.6;5632000;Басманный;Большая Почтовая;Электрозаводская;
