author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
МИЭЛЬ;https://www.cian.ru/sale/flat/288053127/;Москва;sale;flat;3;17;-1;17.7;4700000;Отрадное;Алтуфьевское шоссе;Владыкино;Апарт-комплекс Ботаник
Владис;https://www.cian.ru/sale/flat/285624220/;Москва;sale;flat;1;5;-1;18.4;4784000;Марфино;Гостиничная;Окружная;
МИЦ-Столичный ипотечный центр недвижимости;https://www.cian.ru/sale/flat/281847473/;Москва;sale;flat;1;5;-1;12.2;4800000;Щукино;Маршала Конева;Октябрьское поле;
ID 99304046;https://www.cian.ru/sale/flat/287741682/;Москва;sale;flat;5;9;1;15.5;4805000;Старое Крюково;Зеленоград;Пятницкое шоссе;My Space в Зеленограде
ID 99304046;https://www.cian.ru/sale/flat/286335036/;Москва;sale;flat;5;9;1;15.4;4851000;Старое Крюково;Зеленоград;;My Space в Зеленограде
Этажи Москва;https://www.cian.ru/sale/flat/282699772/;Москва;sale;flat;1;5;1;14.5;4900000;Донской;2-й Верхний Михайловский проезд;Шаболовская;
ПИК;https://www.cian.ru/sale/flat/274606072/;Москва;sale;flat;14;25;1;19.6;4954016;Крюково;Зеленоград;Пятницкое шоссе;Зелёный парк
ПИК;https://www.cian.ru/sale/flat/270784536/;Москва;sale;flat;17;25;1;19.6;4971922;Крюково;Зеленоград;Нахабино;Зеленый Парк ЖК
ЭкоHome;https://www.cian.ru/sale/flat/287921003/;Москва;sale;flat;6;6;-1;18.0;5000000;Хорошевский;3-й Хорошевский проезд;Беговая;
Марина Добровольская;https://www.cian.ru/sale/flat/287832488/;Москва;sale;flat;2;6;1;18.0;5000000;Ново-Переделкино;Федосьино;Рассказовка;Мой адрес в Рассказовке
Владис;https://www.cian.ru/sale/flat/284734477/;Москва;sale;flat;1;5;-1;20.4;5304000;Марфино;Гостиничная;Окружная;
Монолит Столица;https://www.cian.ru/sale/flat/283955940/;Москва;sale;flat;10;14;1;22.6;5300000;;;Рассказовка;
ID 4382812;https://www.cian.ru/sale/flat/288263094/;Москва;sale;flat;5;5;-1;11.0;5300000;Черемушки;Херсонская;Зюзино;
Этажи Москва;https://www.cian.ru/sale/flat/283861436/;Москва;sale;flat;1;17;1;21.0;5500000;Ново-Переделкино;Боровское шоссе;Боровское шоссе;
ПИК;https://www.cian.ru/sale/flat/277827695/;Москва;sale;flat;10;25;1;23.2;5708508;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
ПИК;https://www.cian.ru/sale/flat/273651523/;Москва;sale;flat;2;19;1;20.0;5838503;Митино;Северо-Западный ао;Пятницкое шоссе;Митинский Лес ЖК
Александр Смирнов;https://www.cian.ru/sale/flat/275150889/;Москва;sale;flat;7;10;-1;14.0;5800000;Нижегородский;Подъемная;Калитники;
ID 62641949;https://www.cian.ru/sale/flat/288425650/;Москва;sale;flat;1;6;1;17.7;5800000;Богородское;Ивантеевская;Бульвар Рокоссовского;
PRIVE Estate;https://www.cian.ru/sale/flat/286934783/;Москва;sale;flat;8;15;1;25.5;5800000;;;Силикатная;
ID 99304046;https://www.cian.ru/sale/flat/287736747/;Москва;sale;flat;3;9;1;19.0;5890000;Старое Крюково;Зеленоград;Пятницкое шоссе;My Space в Зеленограде
ПИК;https://www.cian.ru/sale/flat/272486670/;Москва;sale;flat;22;25;1;23.2;5904258;Крюково;Зеленоград;Пятницкое шоссе;Зелёный парк
ПИК;https://www.cian.ru/sale/flat/270798825/;Москва;sale;flat;32;32;1;20.0;5967327;Митино;Северо-Западный ао;Пятницкое шоссе;Митинский Лес ЖК
Градомиръ;https://www.cian.ru/sale/flat/287033427/;Москва;sale;flat;9;16;-1;15.0;5900000;Тропарево-Никулино;Ленинский проспект;Юго-Западная;
ID 53044740;https://www.cian.ru/sale/flat/284544645/;Москва;sale;flat;10;16;1;24.0;5999999;;;Коммунарка;
ПИК;https://www.cian.ru/sale/flat/277250402/;Москва;sale;flat;12;17;1;19.9;6023707;Люблино;к13.4;Перерва;Люблинский парк ЖК
ПИК;https://www.cian.ru/sale/flat/274345594/;Москва;sale;flat;29;33;1;20.2;6004262;Очаково-Матвеевское;к1.1;Давыдково;Новое Очаково ЖК
ПИК;https://www.cian.ru/sale/flat/275130173/;Москва;sale;flat;17;33;1;19.9;6035799;Люблино;к13.3;Перерва;Люблинский парк ЖК
ПИК;https://www.cian.ru/sale/flat/276334442/;Москва;sale;flat;15;25;1;19.7;6044964;Люблино;;Депо;Люблинский парк ЖК
ID 99313044;https://www.cian.ru/sale/flat/287534295/;Москва;sale;flat;4;9;1;16.7;6012000;Очаково-Матвеевское;Аминьевское шоссе;Давыдково;MySpace Аминьевская
Этажи Москва;https://www.cian.ru/sale/flat/284454588/;Москва;sale;flat;1;14;-1;23.4;6050000;Лосиноостровский;Норильская;Бабушкинская;
