author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Century 21 Street Realty;https://www.cian.ru/sale/flat/284063692/;Москва;sale;flat;58;59;5;167;120000000;Тимирязевский;Дмитровское шоссе;Дмитровская;D1
Century 21 Street Realty;https://www.cian.ru/sale/flat/274758955/;Москва;sale;flat;16;26;5;168;120000000;Очаково-Матвеевское;Нежинская;Минская;Городские резиденции SPIRES
FS PROPERTY;https://www.cian.ru/sale/flat/260404068/;Москва;sale;flat;1;3;5;220;120000000;Хорошевский;проезд Аэропорта;Аэропорт;Studio 8
Chase R.E.S.;https://www.cian.ru/sale/flat/271818126/;Москва;sale;flat;17;21;5;126;119900000;Пресненский;Мантулинская;Выставочная;City Park
Андрей Знатнов;https://www.cian.ru/sale/flat/285621393/;Москва;sale;flat;15;22;5;327;120000000;Раменки;Минская;Ломоносовский проспект;Золотые Ключи 2
БЭСТ ФАКТОРИ НЕДВИЖИМОСТЬ;https://www.cian.ru/sale/flat/263220638/;Москва;sale;flat;8;8;5;244;119950000;Дорогомилово;набережная Тараса Шевченко;Киевская;
Smolenka Estate;https://www.cian.ru/sale/flat/257731340/;Москва;sale;flat;6;6;5;193;120000000;Арбат;Большая Молчановка;Смоленская;
PEOPLE;https://www.cian.ru/sale/flat/281832332/;Москва;sale;flat;18;20;5;126;120000000;Пресненский;Мантулинская;Выставочная;City Park
Point Estate Город;https://www.cian.ru/sale/flat/282859913/;Москва;sale;flat;1;4;5;220;120000000;Хорошевский;проезд Аэропорта;Аэропорт;Studio 8
Upright Estate;https://www.cian.ru/sale/flat/287454369/;Москва;sale;flat;2;10;5;233;120000000;Раменки;Сергея Бондарчука;Мичуринский проспект;Река
Monumental Group;https://www.cian.ru/sale/flat/287888743/;Москва;sale;flat;2;4;5;204;120000000;Пресненский;Мерзляковский переулок;Арбатская;
Мозаик Групп;https://www.cian.ru/sale/flat/286762251/;Москва;sale;flat;4;6;5;125;120000000;Арбат;Арбат;Смоленская;
Chase R.E.S.;https://www.cian.ru/sale/flat/287873213/;Москва;sale;flat;6;6;5;223;121030800;Мещанский;Варсонофьевский переулок;Кузнецкий мост;
Gethome;https://www.cian.ru/sale/flat/259258542/;Москва;sale;flat;5;5;5;223;121030800;Мещанский;Варсонофьевский переулок;;
Delight  Realty;https://www.cian.ru/sale/flat/283213141/;Москва;sale;flat;2;4;5;203;125000000;Пресненский;Мерзляковский переулок;Арбатская;
МЦН;https://www.cian.ru/sale/flat/287827311/;Москва;sale;flat;8;16;5;210;125000000;Хамовники;Ружейный переулок;Смоленская;Смоленская Застава
Жанна Гончарова;https://www.cian.ru/sale/flat/276929820/;Москва;sale;flat;12;13;5;282.5;125000000;Мещанский;Протопоповский переулок;Проспект Мира;
Ирина Янарсаева;https://www.cian.ru/sale/flat/273961272/;Москва;sale;flat;5;6;5;240;125000000;Крылатское;Осенняя;Крылатское;
Chase R.E.S.;https://www.cian.ru/sale/flat/277349118/;Москва;sale;flat;16;25;5;139;127000000;Очаково-Матвеевское;Нежинская;Аминьевская;Городские резиденции SPIRES
Apple Real Estate;https://www.cian.ru/sale/flat/283758930/;Москва;sale;flat;7;8;5;230;128000000;Тверской;Тверская;Маяковская;
Контакт Недвижимость;https://www.cian.ru/sale/flat/273527717/;Москва;sale;flat;8;12;5;160;127200000;Дорогомилово;Кутузовский проспект;Киевская;Кутузовский XII
Самолет Плюс МСК-Север;https://www.cian.ru/sale/flat/287969083/;Москва;sale;flat;17;17;5;228.2;129000000;Савеловский;1-я Квесисская;Савёловская;
Premium Realty;https://www.cian.ru/sale/flat/286544578/;Москва;sale;flat;20;36;5;161;128889000;Хорошевский;Ленинградский проспект;ЦСКА;Прайм Парк
Realty;https://www.cian.ru/sale/flat/283308999/;Москва;sale;flat;4;4;5;336;129000000;Арбат;Большой Николопесковский переулок;Смоленская;
Monumental Group;https://www.cian.ru/sale/flat/283490425/;Москва;sale;flat;5;6;5;236;128970000;Беговой;3-я Ямского Поля;Белорусская;Art Residence
Penny Lane Realty Жилая недвижимость;https://www.cian.ru/sale/flat/284882587/;Москва;sale;flat;5;6;5;236;129000000;Беговой;3-я Ямского Поля;Белорусская;Art Residence
