author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Glincom;https://www.cian.ru/sale/flat/287829385/;Москва;sale;flat;7;8;4;110.5;61037250;Савеловский;Верхняя Масловка;Петровский Парк;Verdi
BARNES International Realty;https://www.cian.ru/sale/flat/288326744/;Москва;sale;flat;13;19;4;98.4;61000000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;
ZIP Realty;https://www.cian.ru/sale/flat/288233266/;Москва;sale;flat;10;20;4;144.97;61200000;Даниловский;Симоновская набережная;Автозаводская;
Ташир;https://www.cian.ru/sale/flat/274701427/;Москва;sale;flat;5;17;4;123.0;61623000;Раменки;;;Легаси ЖК
Бест-Химки;https://www.cian.ru/sale/flat/287927898/;Москва;sale;flat;6;7;4;93.7;61500000;Хамовники;Фрунзенская набережная;Фрунзенская;
Ташир;https://www.cian.ru/sale/flat/274701367/;Москва;sale;flat;8;17;4;119.7;62004600;Раменки;;;Легаси ЖК
PRIME;https://www.cian.ru/sale/flat/287404776/;Москва;sale;flat;19;26;4;93.0;64000000;Очаково-Матвеевское;Нежинская;Славянский бульвар;Городские резиденции SPIRES
Терра-недвижимость;https://www.cian.ru/sale/flat/286070443/;Москва;sale;flat;6;12;4;215.0;64200000;Теплый Стан;Островитянова;Тропарёво;
Etagi Prime;https://www.cian.ru/sale/flat/278522048/;Москва;sale;flat;7;8;4;93.0;64000000;Пресненский;Ермолаевский переулок;;
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/287869800/;Москва;sale;flat;4;5;4;171.0;65000000;Басманный;Большой Козловский переулок;Чистые пруды;
АНПЛАНЕТА;https://www.cian.ru/sale/flat/284896608/;Москва;sale;flat;7;17;4;119.0;65000000;Беговой;Ленинградский проспект;Динамо;Квартал апартаментов Искра-Парк
TWEED;https://www.cian.ru/sale/flat/284201268/;Москва;sale;flat;4;5;4;73.5;64549760;Мещанский;Большой Сергиевский переулок;Трубная;
Ашихмин и партнёры;https://www.cian.ru/sale/flat/277237782/;Москва;sale;flat;38;41;4;168.6;64900000;Филевский парк;Багратионовский проезд;Фили;Filicity
Kalinka Group;https://www.cian.ru/sale/flat/286250696/;Москва;sale;flat;8;19;4;140.0;65000000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Smart Realty;https://www.cian.ru/sale/flat/285544522/;Москва;sale;flat;7;19;4;140.7;65000000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
АДН;https://www.cian.ru/sale/flat/287392172/;Москва;sale;flat;2;9;4;145.8;65000000;Тверской;3-я Тверская-Ямская;Маяковская;
Алексей Лутовинов;https://www.cian.ru/sale/flat/284706076/;Москва;sale;flat;17;32;4;115.0;64900000;Раменки;Мосфильмовская;Раменки;Мосфильмовский
Verges of estate;https://www.cian.ru/sale/flat/257779655/;Москва;sale;flat;9;34;4;180.0;66000000;Обручевский;Ленинский проспект;Проспект Вернадского;Well House на Ленинском
ID 6194548;https://www.cian.ru/sale/flat/288138614/;Москва;sale;flat;2;9;4;126.0;66000000;Мещанский;Гиляровского;Проспект Мира;Дом на Гиляровского
