author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Пионер;https://www.cian.ru/sale/flat/279362274/;Москва;sale;flat;5;11;4;208.5;166664266;Даниловский;Дербеневская;Павелецкая;OPUS
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/277152529/;Москва;sale;flat;36;48;4;145.8;67000000;Раменки;Мосфильмовская;Ломоносовский проспект;Воробьевы Горы
Sminex-Интеко;https://www.cian.ru/sale/flat/281686984/;Москва;sale;flat;1;6;4;101.7;180820000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
INHAUS;https://www.cian.ru/sale/flat/286176547/;Москва;sale;flat;29;35;4;107.3;36000000;Раменки;Лобачевского;Аминьевская;Крылья
ПИК;https://www.cian.ru/sale/flat/274228715/;Москва;sale;flat;31;34;4;73.8;21656959;Очаково-Матвеевское;к1.2;Аминьевская;Матвеевский Парк ЖК
OXE CAPITAL - Элитная Недвижимость;https://www.cian.ru/sale/flat/285381622/;Москва;sale;flat;2;7;4;108.6;129900000;Таганский;Серебрянический переулок;Китай-город;Титул на Серебрянической
Велесстрой;https://www.cian.ru/sale/flat/277915060/;Москва;sale;flat;3;24;4;102.2;41033300;Фили-Давыдково;Кастанаевская;Кунцевская;Shome
PEOPLE;https://www.cian.ru/sale/flat/288098917/;Москва;sale;flat;3;13;4;119.2;88000000;Тверской;Фадеева;Новослободская;Итальянский Квартал
ENGEO Development;https://www.cian.ru/sale/flat/272695156/;Москва;sale;flat;6;6;4;319.9;1598855202;Тверской;Большая Дмитровка;Театральная;Большая Дмитровка IX
Ramenky Realty;https://www.cian.ru/sale/flat/283201441/;Москва;sale;flat;4;7;4;200.0;165500000;Хамовники;Еропкинский переулок;Парк Культуры;Еропкинский 16
Донстрой;https://www.cian.ru/sale/flat/288195980/;Москва;sale;flat;36;41;4;109.7;59589040;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
BELFORT;https://www.cian.ru/sale/flat/283106868/;Москва;sale;flat;2;5;4;136.0;130000000;Замоскворечье;Озерковская набережная;Новокузнецкая;Bogenhouse
Sminex-Интеко;https://www.cian.ru/sale/flat/281686962/;Москва;sale;flat;3;6;4;119.2;219840000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
NIKA ESTATE;https://www.cian.ru/sale/flat/287492604/;Москва;sale;flat;18;21;4;125.0;120000000;Пресненский;Мантулинская;Выставочная;City Park
Донстрой;https://www.cian.ru/sale/flat/288195978/;Москва;sale;flat;7;41;4;109.3;51753550;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
ID 438578;https://www.cian.ru/sale/flat/287865662/;Москва;sale;flat;14;22;4;200.0;77000000;Раменки;Минская;Ломоносовский проспект;Золотые Ключи 2
;https://www.cian.ru/sale/flat/267352388/;Москва;sale;flat;11;12;4;137.4;76810000;Сокол;Врубеля;Панфиловская;Врубеля 4
Monumental Group;https://www.cian.ru/sale/flat/288214814/;Москва;sale;flat;29;41;4;120.0;35990000;Чертаново Северное;Северное Чертаново мкр;Чертановская;Авеню 77
Optima Development;https://www.cian.ru/sale/flat/288377309/;Москва;sale;flat;38;40;4;135.0;122748624;Хорошевский;Ленинградский проспект;ЦСКА;Прайм Парк
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/287575396/;Москва;sale;flat;11;24;4;122.0;85000000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Группа Эталон;https://www.cian.ru/sale/flat/283964519/;Москва;sale;flat;11;19;4;117.9;63623171;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
Ашихмин и партнёры;https://www.cian.ru/sale/flat/288006319/;Москва;sale;flat;9;9;4;159.2;109000000;Якиманка;Погорельский переулок;Добрынинская;Дипломат
Пионер;https://www.cian.ru/sale/flat/288142050/;Москва;sale;flat;4;22;4;115.4;40622415;Марьина роща;Полковая;Савёловская;PRIDE
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/287497728/;Москва;sale;flat;8;20;4;113.0;99500000;Пресненский;Мантулинская;Деловой центр;City Park
Абсолют Недвижимость;https://www.cian.ru/sale/flat/285444374/;Москва;sale;flat;13;20;4;104.0;18884755;;;Рассказовка;
