author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Sminex-Интеко;https://www.cian.ru/sale/flat/265095456/;Москва;sale;flat;13;14;3;91.6;55150000;Раменки;;Ломоносовский проспект;Вест Гарден ЖК
Century 21 Premium Property;https://www.cian.ru/sale/flat/287548497/;Москва;sale;flat;11;53;3;107;37000000;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
TEKTA GROUP;https://www.cian.ru/sale/flat/284502365/;Москва;sale;flat;2;34;3;70.2;21010860;Обручевский;;Калужская;Эвер ЖК
BELFORT;https://www.cian.ru/sale/flat/288362265/;Москва;sale;flat;2;8;3;75.5;78000000;Якиманка;Софийская набережная;Новокузнецкая;Софийский
Центр-Инвест;https://www.cian.ru/sale/flat/288007942/;Москва;sale;flat;2;35;3;86.8;27864327;Левобережный;Фестивальная;Беломорская;Фестиваль парк-2
ID 93840399;https://www.cian.ru/sale/flat/284315000/;Москва;sale;flat;33;41;3;80.2;40500000;Филевский парк;Багратионовский проезд;Фили;Filicity
MR Group;https://www.cian.ru/sale/flat/288222719/;Москва;sale;flat;54;54;3;154.1;89710614;Савеловский;2-я Хуторская;Дмитровская;SYMPHONY 34
BARNES International Realty;https://www.cian.ru/sale/flat/287248386/;Москва;sale;flat;3;7;3;87;95000000;Хамовники;Льва Толстого;Парк Культуры;Литератор
Level Group;https://www.cian.ru/sale/flat/284889157/;Москва;sale;flat;-1;-1;3;202;21850001;Нагатино-Садовники;Нагатинская набережная;Нагатинская;Level Нагатинская
BARNES International Realty;https://www.cian.ru/sale/flat/288096874/;Москва;sale;flat;19;30;3;107.8;44198000;Якиманка;Мытная;Серпуховская;Sky House
ФСК;https://www.cian.ru/sale/flat/271319228/;Москва;sale;flat;-1;-1;3;1;27174227;Хорошевский;Зорге;Зорге;Рихард
Bespoke Estate;https://www.cian.ru/sale/flat/283217628/;Москва;sale;flat;7;8;3;87.5;79900000;Тверской;Тверская;Охотный ряд;
Основа;https://www.cian.ru/sale/flat/286886778/;Москва;sale;flat;10;13;3;68;42874000;Замоскворечье;Большой Строченовский переулок;Павелецкая;Резиденции Замоскворечье
BRIGHT ESTATE - городская недвижимость;https://www.cian.ru/sale/flat/282540627/;Москва;sale;flat;9;15;3;97;97000000;Хамовники;Усачева;;Садовые кварталы
Группа Эталон;https://www.cian.ru/sale/flat/286936775/;Москва;sale;flat;4;19;3;100.4;48418535;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
MHEstate;https://www.cian.ru/sale/flat/288294047/;Москва;sale;flat;7;8;3;87.5;79900000;Тверской;Тверская;Охотный ряд;
Level Group;https://www.cian.ru/sale/flat/284889677/;Москва;sale;flat;-1;-1;3;202;20113642;Печатники;;Кожуховская;Левел Южнопортовая ЖК
Kalinka Group;https://www.cian.ru/sale/flat/275924623/;Москва;sale;flat;16;20;3;92;85000000;Пресненский;Мантулинская;Деловой центр;City Park
Э.К. Девелопмент;https://www.cian.ru/sale/flat/266637638/;Москва;sale;flat;3;25;3;85.1;30721100;Хорошевский;Маргелова;Беговая;Авиатика
Contact Real Estate;https://www.cian.ru/sale/flat/279054433/;Москва;sale;flat;6;6;3;140;189000000;Хамовники;Льва Толстого;Парк Культуры;Литератор
Level Group;https://www.cian.ru/sale/flat/284890951/;Москва;sale;flat;-1;-1;3;202;26692457;Очаково-Матвеевское;;Мичуринский проспект;Левел Мичуринский ЖК
Ramenky Realty;https://www.cian.ru/sale/flat/280234936/;Москва;sale;flat;2;8;3;152.2;127000000;Хамовники;Усачева;Спортивная;Садовые кварталы
Valartis Group;https://www.cian.ru/sale/flat/284404565/;Москва;sale;flat;5;8;3;129.5;103600000;Арбат;Арбат;Арбатская;Turandot Residences
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/286543268/;Москва;sale;flat;4;5;3;94.1;41000000;Басманный;Чаплыгина;Красные ворота;
;https://www.cian.ru/sale/flat/280125497/;Москва;sale;flat;2;3;3;197;137900000;Хорошево-Мневники;Таманская;Карамышевская;Берег столицы
BARNES International Realty;https://www.cian.ru/sale/flat/286709691/;Москва;sale;flat;7;7;3;125;54899000;Тверской;Тверская;Маяковская;
Valartis Group;https://www.cian.ru/sale/flat/274788015/;Москва;sale;flat;5;5;3;143.4;225138000;Арбат;Арбат;Смоленская;Artisan
