author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Capital Group;https://www.cian.ru/sale/flat/286955465/;Москва;sale;flat;4;4;5;365.3;1108320200;Якиманка;Софийская набережная;Александровский сад;Золотой
BRIGHT ESTATE - городская недвижимость;https://www.cian.ru/sale/flat/283958326/;Москва;sale;flat;1;7;5;201.6;400000000;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park
Центр-Инвест;https://www.cian.ru/sale/flat/287083513/;Москва;sale;flat;8;9;5;296.4;313959328;Таганский;Серебрянический переулок;Китай-город;Титул на Серебрянической
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/283449409/;Москва;sale;flat;2;6;5;192.3;97000000;Тверской;Дегтярный переулок;Маяковская;
Valartis Group;https://www.cian.ru/sale/flat/274787999/;Москва;sale;flat;3;5;5;274.4;288120000;Арбат;Арбат;Смоленская;Artisan
Monumental Group;https://www.cian.ru/sale/flat/272512978/;Москва;sale;flat;6;6;5;247;119000000;Пресненский;Спиридоновка;Маяковская;
Сбербанк Капитал;https://www.cian.ru/sale/flat/288177373/;Москва;sale;flat;4;7;5;312.2;418961743;Якиманка;Софийская набережная;;Царев сад
Gethome;https://www.cian.ru/sale/flat/274213646/;Москва;sale;flat;1;9;5;200.8;400000000;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park
Сбербанк Капитал;https://www.cian.ru/sale/flat/288177374/;Москва;sale;flat;5;7;5;304.1;526775535;Якиманка;Софийская набережная;;Царев сад
PEOPLE;https://www.cian.ru/sale/flat/286488190/;Москва;sale;flat;4;9;5;254;195500000;Пресненский;Тверской бульвар;Тверская;
А101;https://www.cian.ru/sale/flat/278068408/;Москва;sale;flat;3;16;5;125.8;25241542;;;Улица Скобелевская;
Суламит-НГС;https://www.cian.ru/sale/flat/278152239/;Москва;sale;flat;5;6;5;182.1;52000000;Басманный;Бауманская;Бауманская;
КРОСТ;https://www.cian.ru/sale/flat/286830731/;Москва;sale;flat;11;19;5;126.2;51111000;Щукино;Расплетина;Октябрьское поле;Театральный квартал
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/282635844/;Москва;sale;flat;3;5;5;215;164372609;Басманный;Фурманный переулок;Красные ворота;
Основа;https://www.cian.ru/sale/flat/286886366/;Москва;sale;flat;26;31;5;131.18;53127900;Марфино;;Улица Милашенкова;Вери ЖК
Premium Moscow;https://www.cian.ru/sale/flat/286116285/;Москва;sale;flat;3;12;5;136.5;78000000;Раменки;проспект Генерала Дорохова;Минская;West Garden
Optima Development;https://www.cian.ru/sale/flat/288377313/;Москва;sale;flat;20;41;5;167.8;106575359;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
BRIGHT ESTATE - городская недвижимость;https://www.cian.ru/sale/flat/287833299/;Москва;sale;flat;9;11;5;195.1;215000000;Хамовники;Усачева;;Садовые кварталы
