author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
ПИК;https://www.cian.ru/sale/flat/284914077/;Москва;sale;flat;21;32;1;26.4;10088459;Головинский;Кронштадтский бульвар;Водный стадион;Кронштадтский 9
Самолет Плюс Москва ЦАО;https://www.cian.ru/sale/flat/287391773/;Москва;sale;flat;12;22;1;25.5;8700000;;;;
Основа;https://www.cian.ru/sale/flat/287740141/;Москва;sale;flat;2;31;1;23.46;10416240;Марфино;;Улица Милашенкова;Вери ЖК
TPI Company;https://www.cian.ru/sale/flat/286121161/;Москва;sale;flat;2;4;-1;30.4;9120000;Хорошевский;Ленинградский проспект;Аэропорт;
ПИК;https://www.cian.ru/sale/flat/287672689/;Москва;sale;flat;3;9;1;19.96;4560813;;;Филатов Луг;Середневский Лес ЖК
Whitewill Москва-Сити;https://www.cian.ru/sale/flat/285298197/;Москва;sale;flat;19;85;-1;19;16900000;Пресненский;1-й Красногвардейский проезд;Международная;МФК ОКО
ПИК;https://www.cian.ru/sale/flat/284916652/;Москва;sale;flat;20;25;1;19.7;4825314;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
Msk Estate;https://www.cian.ru/sale/flat/287953885/;Москва;sale;flat;2;3;-1;11.8;3290000;Нижегородский;шоссе Фрезер;Нижегородская;
ПИК;https://www.cian.ru/sale/flat/278540136/;Москва;sale;flat;19;25;1;19.7;4993290;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
Estes;https://www.cian.ru/sale/flat/287454517/;Москва;sale;flat;12;16;1;18.1;6000000;;;Бульвар Адмирала Ушакова;
ПИК;https://www.cian.ru/sale/flat/286224753/;Москва;sale;flat;10;11;1;19.7;5007288;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
ID 15730828;https://www.cian.ru/sale/flat/276371583/;Москва;sale;flat;8;18;1;26;8490000;;;Саларьево;
ПИК;https://www.cian.ru/sale/flat/287672602/;Москва;sale;flat;3;9;1;25.5;5249590;;;Филатов Луг;Середневский Лес ЖК
Msk Estate;https://www.cian.ru/sale/flat/283898833/;Москва;sale;flat;1;6;-1;22.3;4460000;Коптево;Клары Цеткин;Войковская;
ПИК;https://www.cian.ru/sale/flat/286092719/;Москва;sale;flat;2;32;1;20;5296774;Митино;Северо-Западный ао;Пятницкое шоссе;Митинский Лес ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/280896474/;Москва;sale;flat;2;4;-1;18;6890000;Басманный;Радио;Бауманская;
ПИК;https://www.cian.ru/sale/flat/279627258/;Москва;sale;flat;9;17;1;20;5266256;Южное Бутово;;Щербинка;Никольские Луга ЖК
Msk Estate;https://www.cian.ru/sale/flat/287905558/;Москва;sale;flat;2;4;-1;19;5490000;Мещанский;Средняя Переяславская;Рижская;
COLDY;https://www.cian.ru/sale/flat/287579097/;Москва;sale;flat;13;21;-1;17.3;5324310;Нижегородский;;Калитники;Н'айс Лофт ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/285637670/;Москва;sale;flat;4;4;-1;26.2;7390000;Мещанский;Средняя Переяславская;Рижская;
ПИК;https://www.cian.ru/sale/flat/279435717/;Москва;sale;flat;2;17;1;22;5317213;Южное Бутово;;Щербинка;Никольские Луга ЖК
do A.S.A.P.;https://www.cian.ru/sale/flat/287952119/;Москва;sale;flat;3;29;1;27.7;10900000;Очаково-Матвеевское;Аминьевское шоссе;Аминьевская;Вестердам
ПИК;https://www.cian.ru/sale/flat/279410911/;Москва;sale;flat;12;17;1;20;5343402;Южное Бутово;;Щербинка;Никольские Луга ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/282961339/;Москва;sale;flat;8;10;1;16.6;5300000;Выхино-Жулебино;Рязанский проспект;Юго-Восточная;
ПИК;https://www.cian.ru/sale/flat/279789099/;Москва;sale;flat;14;19;1;20;5377934;Митино;Северо-Западный ао;Пятницкое шоссе;Митинский Лес ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/281860346/;Москва;sale;flat;2;3;-1;10.4;3290000;Нижегородский;шоссе Фрезер;Нижегородская;
РГ-Девелопмент;https://www.cian.ru/sale/flat/286504845/;Москва;sale;flat;2;9;-1;24.2;5566000;Чертаново Южное;;Аннино;Варшавские Ворота ЖК
PORTAL ESTATE;https://www.cian.ru/sale/flat/283531837/;Москва;sale;flat;2;4;-1;40;10000000;Даниловский;Автозаводская;Автозаводская;Галерея ЗИЛ
Новые Ватутинки;https://www.cian.ru/sale/flat/282733743/;Москва;sale;flat;2;14;1;29.4;5644800;;;Ольховая;
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/282961369/;Москва;sale;flat;8;10;1;18.5;5631125;Выхино-Жулебино;Рязанский проспект;Юго-Восточная;
