author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Донстрой;https://www.cian.ru/sale/flat/286396360/;Москва;sale;flat;8;9;1;56.9;42083240;Раменки;Кинематографический кв-л;Мичуринский проспект;Река ЖК
Пионер;https://www.cian.ru/sale/flat/288227497/;Москва;sale;flat;21;32;1;60.4;43950724;Даниловский;;Павелецкая;Хай Лайф ЖК
VESPER;https://www.cian.ru/sale/flat/262519398/;Москва;sale;flat;-1;-1;-1;202.0;45640000;Пресненский;Жилой Лаки кв-л;Улица 1905 года;Lucky
Capital Group;https://www.cian.ru/sale/flat/287541116/;Москва;sale;flat;20;67;1;50.22;48041400;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
Absolute Premium;https://www.cian.ru/sale/flat/287979045/;Москва;sale;flat;9;18;1;63.0;48271000;Хамовники;;Воробьёвы горы;Коллекция Лужники ЖК
Донстрой;https://www.cian.ru/sale/flat/286396374/;Москва;sale;flat;2;12;1;71.9;48856050;Раменки;Кинематографический кв-л;Мичуринский проспект;Река ЖК
Capital Group;https://www.cian.ru/sale/flat/287996186/;Москва;sale;flat;11;18;1;52.4;52452400;Дорогомилово;;Киевская;Бадаевский ЖК
Галс-Девелопмент;https://www.cian.ru/sale/flat/281875834/;Москва;sale;flat;2;6;1;45.86;55820792;Замоскворечье;Космодамианская набережная;Новокузнецкая;Клубный дом Космо 4/22
Capital Group;https://www.cian.ru/sale/flat/287996170/;Москва;sale;flat;12;18;1;53.6;55717200;Дорогомилово;;Киевская;Бадаевский ЖК
Центр-Инвест;https://www.cian.ru/sale/flat/287083518/;Москва;sale;flat;3;9;1;65.6;56526339;Таганский;Серебрянический переулок;Китай-город;Титул на Серебрянической
Capital Group;https://www.cian.ru/sale/flat/287996194/;Москва;sale;flat;10;18;1;58.1;59436300;Дорогомилово;;Киевская;Бадаевский ЖК
;https://www.cian.ru/sale/flat/263389551/;Москва;sale;flat;6;7;1;66.4;63080000;Замоскворечье;;Новокузнецкая;Балчуг Резиденс ЖК
Valartis Group;https://www.cian.ru/sale/flat/280427152/;Москва;sale;flat;4;5;1;104.7;75384000;Арбат;Арбат;Смоленская;Artisan
VESPER;https://www.cian.ru/sale/flat/287317369/;Москва;sale;flat;5;21;1;66.07;75980500;Пресненский;Костикова;Улица 1905 года;Lucky
KR Properties;https://www.cian.ru/sale/flat/275220053/;Москва;sale;flat;4;6;1;76.6;79664000;Хамовники;Зубовская;Парк Культуры;Metropol Serviced Residences
Valartis Group;https://www.cian.ru/sale/flat/274789006/;Москва;sale;flat;6;8;1;111.6;80352000;Арбат;Арбат;Арбатская;Turandot Residences
Sminex-Интеко;https://www.cian.ru/sale/flat/281896678/;Москва;sale;flat;1;5;1;40.08;82100000;Тверской;;Площадь Революции;Ильинка 3/8 ЖК
Центр-Инвест;https://www.cian.ru/sale/flat/285691718/;Москва;sale;flat;4;7;1;62.86;87863885;Якиманка;переулок 2-й Хвостов;Полянка;Титул на Якиманке
;https://www.cian.ru/sale/flat/238460455/;Москва;sale;flat;5;6;1;86.3;91003350;Хамовники;Усачева;Спортивная;Magnum
Sminex-Интеко;https://www.cian.ru/sale/flat/277716618/;Москва;sale;flat;1;4;1;48.9;104180000;Тверской;;Площадь Революции;Ильинка 3/8 ЖК
Sminex-Интеко;https://www.cian.ru/sale/flat/281050891/;Москва;sale;flat;2;14;1;72.6;132610000;Якиманка;;Третьяковская;Лаврушинский ЖК
Sminex-Интеко;https://www.cian.ru/sale/flat/286944844/;Москва;sale;flat;1;6;1;94.3;143540000;Хамовники;3-й Обыденский переулок;;Клубный дом Обыденский № 1
KR Properties;https://www.cian.ru/sale/flat/284425114/;Москва;sale;flat;4;6;1;98.8;145957240;Хамовники;Зубовская;Парк Культуры;Metropol Serviced Residences
Sminex-Интеко;https://www.cian.ru/sale/flat/281050930/;Москва;sale;flat;6;14;1;67.2;180790000;Якиманка;;Третьяковская;Лаврушинский ЖК
ФСК;https://www.cian.ru/sale/flat/260834047/;Москва;sale;flat;-1;-1;-1;202.0;27623050;Ростокино;;Ботанический сад;Режиссер ЖК
ФСК;https://www.cian.ru/sale/flat/261490330/;Москва;sale;flat;-1;-1;-1;1.0;10833435;Покровское-Стрешнево;Волоколамское шоссе;Спартак;Движение.Тушино
А101;https://www.cian.ru/sale/flat/273053984/;Москва;sale;flat;22;23;1;38.2;9832888;Южное Бутово;к1.3;Бунинская аллея;Южные Сады ЖК
Ашихмин и партнёры;https://www.cian.ru/sale/flat/287657451/;Москва;sale;flat;24;25;1;38.9;25000000;Филевский парк;Береговой проезд;Фили;Фили Град
А101;https://www.cian.ru/sale/flat/274078427/;Москва;sale;flat;6;30;1;33.3;9330707;Южное Бутово;к2.4;Бунинская аллея;Южные Сады ЖК
Группа ЛСР;https://www.cian.ru/sale/flat/275630377/;Москва;sale;flat;16;52;1;33.3;11613737;Москворечье-Сабурово;;Москворечье;Вэйв ЖК
ФСК;https://www.cian.ru/sale/flat/273735168/;Москва;sale;flat;-1;-1;-1;202.0;18308363;Хорошево-Мневники;Шеногина;Карамышевская;Sydney City
ФСК;https://www.cian.ru/sale/flat/274167949/;Москва;sale;flat;-1;-1;-1;202.0;22022920;Хорошево-Мневники;к2/1;Хорошёво;Сидней Сити ЖК
ФСК;https://www.cian.ru/sale/flat/264672546/;Москва;sale;flat;-1;-1;-1;202.0;28917920;Хорошево-Мневники;к2/1;Хорошёво;Сидней Сити ЖК
А101;https://www.cian.ru/sale/flat/273232845/;Москва;sale;flat;3;18;1;32.5;11730662;;;Прокшино;
А101;https://www.cian.ru/sale/flat/273052326/;Москва;sale;flat;2;15;1;38.4;11950284;;;Филатов Луг;
Ваше Подмосковье;https://www.cian.ru/sale/flat/288300645/;Москва;sale;flat;5;5;1;30.6;9000000;Черемушки;Перекопская;Зюзино;
А101;https://www.cian.ru/sale/flat/273873780/;Москва;sale;flat;12;30;1;38.6;10099183;Южное Бутово;к2.3;Бунинская аллея;Южные Сады ЖК
Самолет Плюс Москва ЦАО;https://www.cian.ru/sale/flat/287727830/;Москва;sale;flat;13;14;1;35.5;12400000;Раменки;Мичуринский проспект;;
ID 298709;https://www.cian.ru/sale/flat/287437988/;Москва;sale;flat;2;5;1;14.0;4000000;Даниловский;Автозаводская;Автозаводская;
Юлия Кашкина;https://www.cian.ru/sale/flat/288363803/;Москва;sale;flat;5;6;1;14.0;4290000;Марфино;Гостиничный проезд;Окружная;
Центральный Департамент Недвижимости;https://www.cian.ru/sale/flat/278110551/;Москва;sale;flat;2;21;1;22.0;4500000;;;Остафьево;
ГОРОБМЕН;https://www.cian.ru/sale/flat/288355604/;Москва;sale;flat;3;9;1;12.9;4500000;Западное Дегунино;Дегунинская;;Дегунин
Денис Каргин;https://www.cian.ru/sale/flat/285367684/;Москва;sale;flat;6;6;1;14.1;4699999;Восточное Измайлово;Первомайская;Первомайская;
Ордер;https://www.cian.ru/sale/flat/280751407/;Москва;sale;flat;4;7;1;33.56;4966880;;;Рассказовка;
ID 99313044;https://www.cian.ru/sale/flat/287534893/;Москва;sale;flat;4;9;1;12.7;4953000;Очаково-Матвеевское;Аминьевское шоссе;Давыдково;MySpace Аминьевская
ИПОМАКС;https://www.cian.ru/sale/flat/288106764/;Москва;sale;flat;3;3;1;35.8;5050000;;;Саларьево;
Покупатель;https://www.cian.ru/sale/flat/287454752/;Москва;sale;flat;4;14;1;40.0;5200000;Савёлки;Зеленоград;Лобня;
Владис;https://www.cian.ru/sale/flat/286923932/;Москва;sale;flat;6;9;1;36.1;5500000;;;;
Ордер;https://www.cian.ru/sale/flat/280729658/;Москва;sale;flat;6;9;1;42.5;5525000;;;Рассказовка;
Апрелевка С2;https://www.cian.ru/sale/flat/267570164/;Москва;sale;flat;1;3;1;40.0;5600000;;;;
ID 245566;https://www.cian.ru/sale/flat/285579513/;Москва;sale;flat;1;5;1;29.2;5690000;Бабушкинский;Летчика Бабушкина;Бабушкинская;
ID 14150190;https://www.cian.ru/sale/flat/284809070/;Москва;sale;flat;1;5;1;32.0;5750000;;;Филатов Луг;
Этажи Москва;https://www.cian.ru/sale/flat/273737022/;Москва;sale;flat;4;5;1;15.2;5800000;Академический;Кржижановского;Профсоюзная;
ИПОМАКС;https://www.cian.ru/sale/flat/288106768/;Москва;sale;flat;1;3;1;35.8;5800000;;;Саларьево;
ROOMS Real Estate;https://www.cian.ru/sale/flat/285185267/;Москва;sale;flat;1;4;1;23.1;5800000;Вешняки;аллея Первой Маевки;Рязанский проспект;
REALTY PRО;https://www.cian.ru/sale/flat/286356467/;Москва;sale;flat;1;5;1;20.3;5990000;Нагорный;Нахимовский проспект;Нахимовский проспект;
;https://www.cian.ru/sale/flat/277242461/;Москва;sale;flat;2;9;1;42.8;5992000;;;Рассказовка;
Vasilevsky Estate;https://www.cian.ru/sale/flat/288090183/;Москва;sale;flat;8;9;1;31.0;5990000;;;"""Прокшино"" в 10-15 минутах на автобусе";"то это сказочное место точно для Вас! В ЖК ""Цветочные поляны"" возможно даже невозможное! Добро пожаловать! Мы всегда рады помочь! Цена указана без мебели!"
Ордер;https://www.cian.ru/sale/flat/280800172/;Москва;sale;flat;6;7;1;43.14;5953320;;;Рассказовка;
БЕЛЫЙ КВАДРАТ - Московский Центр Недвижимости;https://www.cian.ru/sale/flat/287479906/;Москва;sale;flat;4;5;1;19.0;5990000;Останкинский;Шереметьевская;Бутырская;
Апрелевка С2;https://www.cian.ru/sale/flat/277542613/;Москва;sale;flat;3;3;1;35.2;5984000;;;;
Апрелевка С2;https://www.cian.ru/sale/flat/277542600/;Москва;sale;flat;1;3;1;45.2;5966400;;;;
Апрелевка С2;https://www.cian.ru/sale/flat/277542578/;Москва;sale;flat;1;3;1;40.7;6023600;;;;
Владис;https://www.cian.ru/sale/flat/280381707/;Москва;sale;flat;4;4;1;41.6;6050000;;;Рассказовка;
Апрелевка С2;https://www.cian.ru/sale/flat/277542574/;Москва;sale;flat;3;3;1;35.6;6052000;;;;
Апрелевка С2;https://www.cian.ru/sale/flat/276051911/;Москва;sale;flat;1;3;1;40.9;6135000;;;;
МИЦ-Столичный ипотечный центр недвижимости;https://www.cian.ru/sale/flat/285577781/;Москва;sale;flat;2;4;1;29.0;6200000;;;Филатов Луг;
REALTY PRО;https://www.cian.ru/sale/flat/287137111/;Москва;sale;flat;1;17;1;18.6;6290000;Коньково;Миклухо-Маклая;Беляево;
;https://www.cian.ru/sale/flat/277242713/;Москва;sale;flat;2;9;1;42.8;6206000;;;Рассказовка;
Estes;https://www.cian.ru/sale/flat/286892970/;Москва;sale;flat;3;4;1;28.0;6300000;;;;
Манхэттен эстейт;https://www.cian.ru/sale/flat/284608380/;Москва;sale;flat;1;3;1;32.7;6300000;;;Саларьево;
;https://www.cian.ru/sale/flat/277242404/;Москва;sale;flat;2;9;1;43.7;6336500;;;Рассказовка;
Апрелевка С2;https://www.cian.ru/sale/flat/272080722/;Москва;sale;flat;2;3;1;35.0;6300000;;;;
Апрелевка С2;https://www.cian.ru/sale/flat/276051837/;Москва;sale;flat;2;3;1;35.5;6311900;;;;
Владис;https://www.cian.ru/sale/flat/288324309/;Москва;sale;flat;3;5;1;32.8;6350000;;;Силикатная;
ID 2424070;https://www.cian.ru/sale/flat/288330599/;Москва;sale;flat;4;6;1;30.0;6400000;;;Филатов Луг;
;https://www.cian.ru/sale/flat/277242405/;Москва;sale;flat;2;9;1;44.6;6467000;;;Рассказовка;
Галант;https://www.cian.ru/sale/flat/287247989/;Москва;sale;flat;5;20;1;27.7;6400000;Северный;Новодачная;Новодачная;ФизтехСити
ID 96092872;https://www.cian.ru/sale/flat/283971915/;Москва;sale;flat;8;17;1;32.43;6400000;;;;
МИЦ-Столичный ипотечный центр недвижимости;https://www.cian.ru/sale/flat/288092078/;Москва;sale;flat;5;8;1;37.2;6500000;;;Филатов Луг;
Олеся Пак;https://www.cian.ru/sale/flat/285979719/;Москва;sale;flat;4;4;1;31.5;6550000;;;Ольховая;
ID 75018243;https://www.cian.ru/sale/flat/283725655/;Москва;sale;flat;4;5;1;31.4;6590000;;;Филатов Луг;
Владис;https://www.cian.ru/sale/flat/278063658/;Москва;sale;flat;4;4;1;36.7;6630000;;;Филатов Луг;
Владис;https://www.cian.ru/sale/flat/285564542/;Москва;sale;flat;4;4;1;39.4;6600000;;;Филатов Луг;
Этажи Москва;https://www.cian.ru/sale/flat/283861299/;Москва;sale;flat;1;5;1;17.0;6600000;Красносельский;Краснопрудная;Красносельская;
ID 58770;https://www.cian.ru/sale/flat/271399957/;Москва;sale;flat;5;9;1;28.0;6600000;;;Филатов Луг;
;https://www.cian.ru/sale/flat/277241898/;Москва;sale;flat;2;7;1;43.14;6686700;;;Рассказовка;
ID 101291565;https://www.cian.ru/sale/flat/285341170/;Москва;sale;flat;4;4;1;31.3;6700000;;;Щербинка;
ID 12858459;https://www.cian.ru/sale/flat/288205460/;Москва;sale;flat;1;17;1;32.0;6650000;Москворечье-Сабурово;Каширское шоссе;Москворечье;
Century 21 Level;https://www.cian.ru/sale/flat/285163147/;Москва;sale;flat;6;12;1;20.6;6750000;;;Улица Горчакова;
;https://www.cian.ru/sale/flat/277241838/;Москва;sale;flat;2;7;1;43.61;6759550;;;Рассказовка;
Владимир Дворянский;https://www.cian.ru/sale/flat/283387292/;Москва;sale;flat;2;4;1;39.0;6750000;;;;
Апрелевка С2;https://www.cian.ru/sale/flat/267206199/;Москва;sale;flat;3;3;1;48.4;6877640;;;;
Инженер;https://www.cian.ru/sale/flat/282339520/;Москва;sale;flat;7;9;1;23.8;6800000;;;Улица Скобелевская;
;https://www.cian.ru/sale/flat/277241834/;Москва;sale;flat;2;7;1;44.54;6903700;;;Рассказовка;
Апрелевка С2;https://www.cian.ru/sale/flat/270825574/;Москва;sale;flat;3;3;1;45.7;6946400;;;;
Апрелевка С2;https://www.cian.ru/sale/flat/267570169/;Москва;sale;flat;3;3;1;48.7;6915400;;;;
РОСТ-РИЕЛТ на Таганской;https://www.cian.ru/sale/flat/287923140/;Москва;sale;flat;8;9;1;33.0;6990000;Бирюлево Западное;Востряковский проезд;Пражская;
Апрелевка С2;https://www.cian.ru/sale/flat/266094554/;Москва;sale;flat;1;3;1;40.1;7017500;;;;
ПИК;https://www.cian.ru/sale/flat/270784125/;Москва;sale;flat;16;25;1;32.0;7126234;Крюково;Зеленоград;Пятницкое шоссе;Зелёный парк
Миэль Офис на Юго-Западе;https://www.cian.ru/sale/flat/285955144/;Москва;sale;flat;15;17;1;31.0;7200000;;;;
Владис;https://www.cian.ru/sale/flat/278008746/;Москва;sale;flat;8;9;1;34.3;7200000;;;Филатов Луг;
