author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Владис;https://www.cian.ru/sale/flat/288324320/;Москва;sale;flat;11;17;2;55.7;15499000;Тропарево-Никулино;Мичуринский проспект Олимпийская деревня;Озёрная;
Whitewill;https://www.cian.ru/sale/flat/281333967/;Москва;sale;flat;6;11;2;31.2;15500000;Донской;Духовской переулок;Тульская;Донской квартал
Этажи Москва;https://www.cian.ru/sale/flat/280547818/;Москва;sale;flat;6;14;2;53.0;15500000;Марфино;Академика Комарова;Фонвизинская;
ID 90289798;https://www.cian.ru/sale/flat/288366607/;Москва;sale;flat;5;9;2;44.0;15500000;Кунцево;Бобруйская;Молодёжная;
ОЛ ИНКЛЮЗИВ;https://www.cian.ru/sale/flat/287358644/;Москва;sale;flat;11;25;2;58.0;15600000;Покровское-Стрешнево;Волоколамское шоссе;Трикотажная;Апартаментный комплекс Level Стрешнево
ПИК;https://www.cian.ru/sale/flat/281171884/;Москва;sale;flat;26;33;2;52.61;15702290;Рязанский;Михайлова;Окская;Михайловский парк
ГОРОБМЕН;https://www.cian.ru/sale/flat/287641070/;Москва;sale;flat;10;16;2;52.1;15700000;Черемушки;Цюрупы;Новые Черёмушки;
Cristall Realty;https://www.cian.ru/sale/flat/287257889/;Москва;sale;flat;14;15;2;67.0;15700000;;;Филатов Луг;
Этажи Москва;https://www.cian.ru/sale/flat/281273755/;Москва;sale;flat;6;8;2;58.0;15600000;Нагатино-Садовники;Каширское шоссе;Нагорная;
ФСК Агент;https://www.cian.ru/sale/flat/286283068/;Москва;sale;flat;2;33;2;66.0;15600000;Южное Бутово;Поляны;Улица Скобелевская;Столичные поляны
Alliance Agency Real Estate;https://www.cian.ru/sale/flat/282130015/;Москва;sale;flat;12;22;2;65.7;15700000;;;Саларьево 10 мин транспортом;
ПИК;https://www.cian.ru/sale/flat/280531322/;Москва;sale;flat;38;38;2;49.0;15792237;Южнопортовый;;Волгоградский проспект;Первый Дубровский ЖК
ПИК;https://www.cian.ru/sale/flat/270786772/;Москва;sale;flat;21;33;2;49.58;15845920;Метрогородок;к1/2;Бульвар Рокоссовского;Лосиноостровский Парк ЖК
РГ-Девелопмент;https://www.cian.ru/sale/flat/280126547/;Москва;sale;flat;2;17;2;45.6;15868800;Савеловский;Старый Петровско-Разумовский проезд;Гражданская;Петровский парк II
Владис;https://www.cian.ru/sale/flat/287790498/;Москва;sale;flat;10;31;2;40.27;15775000;Западное Дегунино;;Верхние Лихоборы;Кинетик ЖК
МИЦ;https://www.cian.ru/sale/flat/286214645/;Москва;sale;flat;-1;-1;-1;202.0;15999865;Хорошево-Мневники;3-я Хорошевская;Карамышевская;Вереск
Этажи Москва;https://www.cian.ru/sale/flat/288011404/;Москва;sale;flat;5;5;2;63.8;15900000;Лефортово;Авиамоторная;Авиамоторная;
Галина Лубенец;https://www.cian.ru/sale/flat/282479558/;Москва;sale;flat;18;22;2;60.0;16000000;;;Рассказовка;
Kalinka Group;https://www.cian.ru/sale/flat/287677764/;Москва;sale;flat;3;18;2;38.55;16000000;Беговой;Ленинградский проспект;Динамо;Царская площадь
3S Group;https://www.cian.ru/sale/flat/286088657/;Москва;sale;flat;28;29;2;39.47;15985350;Богородское;Открытое шоссе;Бульвар Рокоссовского;Талисман на Рокоссовского
ПИК;https://www.cian.ru/sale/flat/275054580/;Москва;sale;flat;16;33;2;58.94;16020064;Рязанский;Михайлова;Окская;Михайловский парк
ПИК;https://www.cian.ru/sale/flat/283153198/;Москва;sale;flat;10;33;2;51.16;15948995;Южнопортовый;;Волгоградский проспект;Первый Дубровский ЖК
ПИК;https://www.cian.ru/sale/flat/288384996/;Москва;sale;flat;6;17;2;54.3;15957193;Метрогородок;к2/4;Бульвар Рокоссовского;Лосиноостровский Парк ЖК
ПИК;https://www.cian.ru/sale/flat/270797354/;Москва;sale;flat;21;21;2;53.8;16049077;Очаково-Матвеевское;;Озёрная;Мичуринский Парк ЖК
ПИК;https://www.cian.ru/sale/flat/270782658/;Москва;sale;flat;3;28;2;56.7;15938370;Щукино;Волоколамское шоссе;Стрешнево;Волоколамское 24
Владис;https://www.cian.ru/sale/flat/287643885/;Москва;sale;flat;7;17;2;60.6;16000000;Северный;Дмитровское шоссе;Новодачная;На Дмитровском 169
C21 Premium Selection;https://www.cian.ru/sale/flat/286804451/;Москва;sale;flat;2;14;2;61.5;16000000;Можайский;Сколковское шоссе;Славянский бульвар;Stellar City
Этажи Москва;https://www.cian.ru/sale/flat/278478197/;Москва;sale;flat;11;25;2;58.0;16000000;Покровское-Стрешнево;Волоколамское шоссе;Тушинская;Апартаментный комплекс Level Стрешнево
Самолет Плюс Москва;https://www.cian.ru/sale/flat/287598082/;Москва;sale;flat;4;10;2;52.6;15900000;;;Ольховая;
ID 16537834;https://www.cian.ru/sale/flat/286997638/;Москва;sale;flat;5;17;2;69.3;16000000;;;Улица Горчакова;
Ольга Залалова;https://www.cian.ru/sale/flat/272317460/;Москва;sale;flat;2;9;2;47.2;16000000;Басманный;Переведеновский переулок;Бауманская;
Основа;https://www.cian.ru/sale/flat/286346610/;Москва;sale;flat;7;29;2;49.6;16100160;Черемушки;Наметкина;Новые Черёмушки;Nametkin Tower
Э.К. Девелопмент;https://www.cian.ru/sale/flat/284502591/;Москва;sale;flat;18;26;2;55.6;16124000;Чертаново Южное;;Лесопарковая;Зеленая Вертикаль ЖК
ПИК;https://www.cian.ru/sale/flat/279900940/;Москва;sale;flat;1;21;2;48.5;16170678;Очаково-Матвеевское;;Аминьевская;Вангарден ЖК
