author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Показал-Продал;https://www.cian.ru/sale/flat/287757393/;Москва;sale;flat;12;52;2;69.5;30500000;Раменки;Мичуринский проспект;Раменки;
Century 21 Street Realty;https://www.cian.ru/sale/flat/288417818/;Москва;sale;flat;33;37;2;67.0;30800000;Раменки;Василия Ланового;Мичуринский проспект;Огни
Century 21 Level;https://www.cian.ru/sale/flat/285436145/;Москва;sale;flat;5;25;2;110.6;30990000;Можайский;Можайское шоссе;Кунцевская;
Whitewill;https://www.cian.ru/sale/flat/284943773/;Москва;sale;flat;5;20;2;42.5;36000000;Пресненский;Мантулинская;Деловой центр;City Park
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/270457453/;Москва;sale;flat;4;18;2;109.0;36500000;Ломоносовский;Архитектора Власова;Профсоюзная;Вавилово
BELFORT;https://www.cian.ru/sale/flat/287259435/;Москва;sale;flat;3;6;2;63.0;36500000;Замоскворечье;Садовническая набережная;Новокузнецкая;BALCHUG VIEWPOINT
BELFORT;https://www.cian.ru/sale/flat/286148538/;Москва;sale;flat;3;5;2;41.23;37500000;Замоскворечье;Озерковская набережная;Новокузнецкая;Bogenhouse
BARNES International Realty;https://www.cian.ru/sale/flat/284343530/;Москва;sale;flat;3;8;2;55.0;38000000;Хамовники;переулок Сивцев Вражек;Кропоткинская;
BLACK MOSCOW CITY;https://www.cian.ru/sale/flat/288006444/;Москва;sale;flat;11;78;2;69.0;39000000;Пресненский;1-й Красногвардейский проезд;Тестовская;NEVA TOWERS
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/287966339/;Москва;sale;flat;2;6;2;37.3;39850000;Пресненский;Малая Бронная;Пушкинская;
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/287018377/;Москва;sale;flat;21;27;2;65.0;41300000;Хорошевский;Хорошевское шоссе;Полежаевская;Династия
Whitewill;https://www.cian.ru/sale/flat/280735079/;Москва;sale;flat;12;12;2;59.0;44000000;Сокол;Врубеля;Сокол;Врубеля 4
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/288229478/;Москва;sale;flat;3;4;2;52.2;44900000;Арбат;Трубниковский переулок;Смоленская;
;https://www.cian.ru/sale/flat/280475398/;Москва;sale;flat;4;23;2;66.5;45330000;Пресненский;2-я Черногрязская;Улица 1905 года;ONEST
BLACK MOSCOW CITY;https://www.cian.ru/sale/flat/285997240/;Москва;sale;flat;30;78;2;79.0;47000000;Пресненский;1-й Красногвардейский проезд;Тестовская;NEVA TOWERS
GRAND ESTATE - Премиальная недвижимость;https://www.cian.ru/sale/flat/284854282/;Москва;sale;flat;8;12;2;100.0;50000000;Тверской;2-я Брестская;Маяковская;Резиденция Тверская
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/286620187/;Москва;sale;flat;4;8;2;69.8;55270732;Хамовники;Смоленский бульвар;Смоленская;
BELFORT;https://www.cian.ru/sale/flat/271907899/;Москва;sale;flat;4;5;2;64.0;60800000;Замоскворечье;Озерковская набережная;Новокузнецкая;Bogenhouse
Славянский Двор Остоженка;https://www.cian.ru/sale/flat/283843746/;Москва;sale;flat;2;4;2;95.0;65000000;Арбат;Арбат;Смоленская;
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/286922691/;Москва;sale;flat;2;5;2;71.0;75000000;Тверской;Никольская;Лубянка;St. Nickolas
Kalinka Group;https://www.cian.ru/sale/flat/283352257/;Москва;sale;flat;1;6;2;71.6;95000000;Замоскворечье;Малая Ордынка;Третьяковская;Собрание клубных домов ORDYNKA
;https://www.cian.ru/sale/flat/256891228/;Москва;sale;flat;5;6;2;128.2;137678787;Хамовники;Усачева;Спортивная;Magnum
Gethome;https://www.cian.ru/sale/flat/281500818/;Москва;sale;flat;4;12;2;129.6;159000000;Хамовники;2-я Фрунзенская;Фрунзенская;Андреевский
Апрелевка С2;https://www.cian.ru/sale/flat/272080721/;Москва;sale;flat;2;3;2;47.8;7982600;;;;
ID 103912616;https://www.cian.ru/sale/flat/288370307/;Москва;sale;flat;10;25;2;53.4;16073400;Войковский;Выборгская;Водный стадион;Невский 18
Whitewill;https://www.cian.ru/sale/flat/281333965/;Москва;sale;flat;2;3;2;55.0;19950000;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
Level Group;https://www.cian.ru/sale/flat/287116132/;Москва;sale;flat;-1;-1;-1;202.0;21017494;Академический;Профсоюзная;Академическая;Level Академическая
Елена Иванова;https://www.cian.ru/sale/flat/287815734/;Москва;sale;flat;3;9;2;44.0;21900000;Филевский парк;Береговой проезд;Шелепиха;мой адрес На Береговом
Whitewill;https://www.cian.ru/sale/flat/286760299/;Москва;sale;flat;5;10;2;59.0;24500000;Дорогомилово;Кутузовский проспект;Кутузовская;Кутузовский
Арт Риэлти;https://www.cian.ru/sale/flat/287043545/;Москва;sale;flat;4;23;2;78.0;34000000;Лефортово;проезд Невельского;Москва-Товарная;Символ
Chase R.E.S.;https://www.cian.ru/sale/flat/263973904/;Москва;sale;flat;34;36;2;69.0;34500000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/278096231/;Москва;sale;flat;10;25;2;144.0;34950000;Можайский;Можайское шоссе;Кунцевская;
Центр-Инвест;https://www.cian.ru/sale/flat/288172327/;Москва;sale;flat;2;22;2;67.7;38199535;Красносельский;Большая Спасская;Площадь трёх вокзалов;Dialog
НДВ;https://www.cian.ru/sale/flat/287509643/;Москва;sale;flat;16;78;2;60.0;44000000;Пресненский;1-й Красногвардейский проезд;Тестовская;NEVA TOWERS
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/277370296/;Москва;sale;flat;2;7;2;60.4;44121068;Пресненский;Никитский бульвар;Арбатская;
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/269129840/;Москва;sale;flat;6;18;2;113.4;45000000;Ломоносовский;Архитектора Власова;Профсоюзная;Вавилово
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/274994025/;Москва;sale;flat;8;9;2;71.3;50000000;Тверской;1-я Тверская-Ямская;Маяковская;
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/276387305/;Москва;sale;flat;4;20;2;76.6;51322000;Пресненский;Дружинниковская;Краснопресненская;SkyView
PEOPLE;https://www.cian.ru/sale/flat/287882421/;Москва;sale;flat;5;13;2;50.0;52500000;Пресненский;Сергея Макеева;Улица 1905 года;RedSide
Whitewill;https://www.cian.ru/sale/flat/284609572/;Москва;sale;flat;38;68;2;75.0;67300000;Пресненский;1-й Красногвардейский проезд;Международная;NEVA TOWERS
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/263311582/;Москва;sale;flat;5;7;2;75.0;73909475;Хамовники;Комсомольский проспект;Спортивная;Clerkenwell House
Центр-Инвест;https://www.cian.ru/sale/flat/287083544/;Москва;sale;flat;7;9;2;88.7;77413701;Таганский;Серебрянический переулок;Китай-город;Титул на Серебрянической
Центр-Инвест;https://www.cian.ru/sale/flat/287083508/;Москва;sale;flat;6;9;2;84.2;77118965;Таганский;Серебрянический переулок;Китай-город;Титул на Серебрянической
;https://www.cian.ru/sale/flat/277242605/;Москва;sale;flat;2;9;2;59.7;7462500;;;Рассказовка;
ПИК;https://www.cian.ru/sale/flat/276701716/;Москва;sale;flat;2;17;2;51.1;12462424;;;Бунинская аллея;
ПИК;https://www.cian.ru/sale/flat/276511257/;Москва;sale;flat;7;17;2;51.2;13665869;;;Улица Горчакова;
ПИК;https://www.cian.ru/sale/flat/288067555/;Москва;sale;flat;15;18;2;32.2;8596486;;;Саларьево;
СЕДЬМОЕ НЕБО;https://www.cian.ru/sale/flat/278004284/;Москва;sale;flat;4;12;2;47.7;11400000;Ховрино;Дыбенко;Беломорская;
Estes;https://www.cian.ru/sale/flat/287792163/;Москва;sale;flat;14;16;2;60.0;14400000;Западное Дегунино;Маршала Федоренко;Ховрино;
ID 103912616;https://www.cian.ru/sale/flat/288371212/;Москва;sale;flat;19;25;2;51.3;15338700;Войковский;Выборгская;Водный стадион;Невский 18
СИТИ21;https://www.cian.ru/sale/flat/279205859/;Москва;sale;flat;15;15;2;60.2;22401066;Останкинский;проспект Мира;Алексеевская;Hill8
ZAPAD REALTY - офис Маршала Жукова;https://www.cian.ru/sale/flat/280411463/;Москва;sale;flat;5;9;2;59.7;23000000;Филевский парк;Береговой проезд;Фили;мой адрес На Береговом
MERSI;https://www.cian.ru/sale/flat/283970175/;Москва;sale;flat;1;5;2;53.8;25000000;Басманный;Жуковского;Чистые пруды;
Level Group;https://www.cian.ru/sale/flat/284916948/;Москва;sale;flat;-1;-1;-1;202.0;25915891;Академический;Профсоюзная;Академическая;Level Академическая
Whitewill Москва-Сити;https://www.cian.ru/sale/flat/286258586/;Москва;sale;flat;4;22;2;75.8;26000000;Лефортово;Золоторожский Вал;Авиамоторная;Символ
Whitewill;https://www.cian.ru/sale/flat/279737979/;Москва;sale;flat;4;22;2;75.8;26000000;Лефортово;Золоторожский Вал;Авиамоторная;Символ
Estes;https://www.cian.ru/sale/flat/288172501/;Москва;sale;flat;6;22;2;38.0;28950000;Пресненский;набережная Пресненская;;МФК IQ-квартал
ZAPAD REALTY - офис Маршала Жукова;https://www.cian.ru/sale/flat/286643706/;Москва;sale;flat;7;22;2;53.0;30000000;Кунцево;Рублевское шоссе;Молодёжная;Vander Park
СИТИ21;https://www.cian.ru/sale/flat/279205829/;Москва;sale;flat;13;15;2;75.3;32112657;Останкинский;проспект Мира;Алексеевская;Hill8
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/286681532/;Москва;sale;flat;2;14;2;88.0;55000000;Хамовники;переулок 1-й Тружеников;Фрунзенская;
Whitewill;https://www.cian.ru/sale/flat/284610671/;Москва;sale;flat;12;12;2;110.0;79000000;Донской;Вавилова;Ленинский проспект;Вавилова 4
;https://www.cian.ru/sale/flat/256188129/;Москва;sale;flat;6;6;2;120.8;156368050;Хамовники;Усачева;Спортивная;Magnum
НДВ;https://www.cian.ru/sale/flat/287741696/;Москва;sale;flat;2;9;2;49.4;9500000;Ивановское;Молостовых;Новогиреево;
Навигатор;https://www.cian.ru/sale/flat/287679362/;Москва;sale;flat;3;9;2;45.0;10500000;Ховрино;Петрозаводская;Беломорская;
Андрей Мурыгин;https://www.cian.ru/sale/flat/287970415/;Москва;sale;flat;10;14;2;38.8;10700000;Выхино-Жулебино;Ташкентская;Юго-Восточная;
